date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-03-01,2.8,-6.7,12.3,0,20,167,12.7,45,1015.1,
2022-03-02,-6.8,-7.8,-5.5,1.2,20,124,11.3,,1025.6,
2022-03-03,-7.9,-9.6,-6.2,4.7,20,66,10.3,,1023.7,
2022-03-04,-8.2,-10.6,-5.8,1.2,70,11,17.8,42,1024.1,
2022-03-05,-5.9,-10,-1.8,0.4,60,11,9,35,1026.4,
2022-03-06,-3,-7.1,1.1,0,40,309,13.1,35,1027.9,
2022-03-07,-1.3,-6.8,4.2,0,30,330,30.2,68,1022.1,
2022-03-08,-9.4,-11.6,-6.7,0.6,30,355,23.7,61,1034.2,
2022-03-09,-13,-15.9,-9.7,0,30,326,14.7,35,1030.5,
2022-03-10,-7.7,-12.9,-4.9,0,40,324,18.2,54,1023.2,
2022-03-11,-5.2,-15.6,5.2,0,40,201,14.7,54,1019.5,
2022-03-12,5.3,1.1,9.5,0,20,259,18.4,53,1005.5,
2022-03-13,0.7,-2.2,3.5,0,10,,,,,
2022-03-14,5.2,-2.4,12.7,0,0,212,14.9,53,1010.1,
2022-03-15,5.9,-0.7,12.4,0,0,283,15.8,64,1004.7,
2022-03-16,5.1,0.4,9.7,0,0,290,19.8,52,1012.7,
2022-03-17,4.7,-2.8,12.1,0,,259,17.3,46,1013.1,
2022-03-18,3.1,-4.1,10.3,0,,295,15.3,42,1011.4,
2022-03-19,3.8,-4.2,11.8,0,,240,7.8,,1005.9,
2022-03-20,2,-1.5,5.5,0.6,0,323,24.2,58,1010,
2022-03-21,5.8,0.3,11.2,0,0,290,21,49,1016.7,
2022-03-22,7.1,-1,15.2,0,,238,13,33,1020.8,
2022-03-23,9.8,1.1,18.4,0,,253,13.3,79,1010.4,
2022-03-24,1.5,-2.7,5.7,0.4,0,341,19.6,78,1022.1,
2022-03-25,1.2,-6.2,8.6,0,,172,11.9,36,1021.3,
2022-03-26,-0.2,-6.5,6.1,0,,107,10.3,,1017.9,
2022-03-27,5.5,-4.4,15.3,0,,75,10.3,40,1008.3,
2022-03-28,-0.3,-2.4,3,,,359,23.6,,1008.1,
2022-03-29,2,-6.5,10.4,0,10,210,9.8,,1016.3,
2022-03-30,7.1,-3.5,17.7,0.2,0,263,17.1,73,1005.5,
2022-03-31,4.3,0.4,8.1,0,0,344,21.1,72,1009.4,
2022-04-01,3,-3.5,9.4,0,,168,10.5,32,1012.7,
2022-04-02,4.9,-2,11.7,0,,302,13.8,64,1010.7,
2022-04-03,2.4,-5.3,10,0,,216,11.7,44,1010.1,
2022-04-04,6.9,0.3,13.5,0,,224,25.1,73,986.8,
2022-04-05,6.3,2.7,9.8,0,,325,28.2,63,1002,
2022-04-06,3.9,-0.9,8.7,0,,4,13.5,37,1026.5,
2022-04-07,6.5,-4.6,17.5,0,,178,13.5,38,1026.3,
2022-04-08,12.9,4.6,21.1,0,,238,21.8,74,1003.5,
2022-04-09,4.2,1.6,6.8,0.4,,334,17.7,56,1007,
2022-04-10,-1.2,-5.5,3.2,0,,357,27.9,61,1012.1,
2022-04-11,-4.1,-8.7,0.6,0,,2,24.1,55,1015.9,
2022-04-12,-9.5,-11.2,-7.8,0.6,10,16,25.4,42,1029.2,
2022-04-13,-7.7,-10.2,-5.2,1.8,0,9,21.2,43,1031,
2022-04-14,-7.8,-10.3,-5.3,1.2,10,15,15.5,37,1025.8,
2022-04-15,-5.8,-9.5,-2,1,30,30,8.6,,1024.1,
2022-04-16,-3.3,-10.7,4.2,0,,156,13.9,35,1019.3,
2022-04-17,-1.1,-8.2,6,0,,26,11.9,37,1022.5,
2022-04-18,1.3,-7.2,9.7,0,,176,21.2,51,1015.9,
2022-04-19,0.6,-2.4,3.6,21.2,30,27,20.7,56,998.7,
2022-04-20,-1.5,-3.8,0.8,0.6,210,23,20,55,1014,
2022-04-21,0.4,-4.8,5.5,0,120,156,23.8,58,1012.1,
2022-04-22,0.7,-0.6,2,11.8,60,22,11.5,,1015.4,
2022-04-23,4.1,-2.1,10.3,0,50,353,11.1,,1022.2,
2022-04-24,7,-1.2,15.1,0,,105,8.7,36,1020.4,
2022-04-25,8.4,-0.5,17.3,0,,226,8.8,40,1012.7,
2022-04-26,9.3,3.8,14.7,2,0,218,13.9,50,1005.3,
2022-04-27,5.9,-0.3,12,0,0,299,18.6,47,1007,
2022-04-28,3.8,-4.3,11.8,0,0,341,8.5,,1011,
2022-04-29,6.2,-0.3,12.6,0,,11,12.3,39,1016.5,
2022-04-30,6.7,-0.5,13.8,0,,108,14,47,1018.5,
2022-05-01,9.4,3.9,14.9,0,,204,17.6,51,1014.6,
2022-05-02,9.1,1.6,16.5,0,,43,9.1,,1008.5,
2022-05-03,10.8,2.7,18.8,0,,282,11.3,35,1010.3,
2022-05-04,14.2,8.3,20.1,0,,259,13.5,46,1006.7,
2022-05-05,15.2,9.4,20.9,0,,208,14.5,48,998.8,
2022-05-06,11.8,6.8,16.8,0,,285,24.8,69,991.2,
2022-05-07,9.3,2.8,15.7,0,,9,14.1,47,995.4,
