date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-03-01,18.6,10.6,26.7,0,,28,9.7,,1017.4,
2022-03-02,18,11.1,25.6,0,,287,9.4,,1015.7,
2022-03-03,15.4,11.7,19.4,0,,116,10.1,,1013,
2022-03-04,15.2,11.1,18.3,0,,243,20.9,,1014.3,
2022-03-05,13.1,10.6,15.6,0,,271,28.8,,1017.5,
2022-03-06,12.1,6.7,16.7,0,,328,9.7,,1022.1,
2022-03-07,13,7.2,19.4,0,,3,10.4,,1022.4,
2022-03-08,14.6,7.8,21.1,0,,286,10.8,,1019.2,
2022-03-09,14.2,8.9,18.9,0,,137,10.4,,1014.6,
2022-03-10,14.5,11.7,17.8,0,,290,11.2,,1015.1,
2022-03-11,15.7,9.4,22.2,0,,295,10.8,,1024.1,
2022-03-12,16.7,10,23.3,0,,299,13,,1021.1,
2022-03-13,15.2,10,19.4,0,,,11.2,,,
2022-03-14,15.3,12.2,20.6,0,,99,11.9,,1021,
2022-03-15,15.6,11.7,20,0,,234,10.4,,1019.8,
2022-03-16,16.2,11.7,22.2,0,,267,15.1,,1016.1,
2022-03-17,18.9,12.8,25.6,0,,249,15.1,,1016.8,
2022-03-18,17.2,11.7,22.2,0,,248,10.4,,1016.4,
2022-03-19,16,13.3,18.9,0.3,,242,14,,1015.7,
2022-03-20,15.6,12.8,22.2,0,,273,25.6,,1014.4,
2022-03-21,16.6,11.7,21.7,0,,171,11.2,,1017.3,
2022-03-22,17.9,12.8,25.6,0,,248,10.8,,1017.2,
2022-03-23,20.8,15,28.9,0,,276,12.2,,1018.5,
2022-03-24,17.9,13.3,21.1,0,,261,12.2,,1016.9,
2022-03-25,14.9,12.2,20.6,0,,260,11.9,,1015.6,
2022-03-26,14.8,12.8,17.8,0,,261,9.7,,1013.3,
2022-03-27,15.1,13.9,20,0,,158,14.4,,1012.1,
2022-03-28,14.7,12.8,16.7,25.9,,172,15.1,,1009.9,
2022-03-29,14.1,11.1,17.2,1.8,,262,11.9,,1013.5,
2022-03-30,15.2,12.2,18.3,0,,263,11.9,,1017,
2022-03-31,15.1,13.9,17.2,0,,244,10.4,,1012.3,
2022-04-01,15.1,12.2,18.3,0,,272,13,,1012.5,
2022-04-02,15.2,13.3,17.8,0,,260,14.4,,1016,
2022-04-03,15.7,13.3,18.3,0,,260,19.8,,1014.5,
2022-04-04,14.9,13.3,17.8,0,,274,10.4,,1013.3,
2022-04-05,16.6,12.2,23.3,0,,205,9.4,,1012.4,
2022-04-06,18.7,14.4,23.3,0,,187,10.4,,1014.4,
2022-04-07,23.4,16.1,35,0,,299,7.6,,1016.2,
2022-04-08,26.5,17.8,36.1,0,,304,11.9,,1012.5,
